Mixture	CD4	CD8	CTL1	CTL2	Endothelial	Erythroid	ImmatureB	Mature	mDC	memBcell	Mono1	Mono2	Mono3	Monocyte	NK	NKT	Osteoblasts	Osteoclasts	pDC	Pericytes	ProB	Progenitors	TAM	Th117	TIM	TregA	TregR	Tumor	P-value	Correlation	RMSE
DTB.151.D	0.047327505974385	0.00632761222218139	0.0409830544496442	0.0228443502808827	0.05212814967896	0.00127161003464882	0.00878384235429464	0.0207704386324935	0	0.00640766481192687	0	0.010007486734911	0.0424839347959048	0.0556499192092069	0.0342566139960442	0	0.0257386429704137	0	0.0232601046762881	0.0453832961894413	0.0213024225259379	0	0.0233378708023403	0.0165240422401815	0.0464680878751525	0.0239172450720702	0.0121744740930677	0.412651630379623	0	0.780576189549939	0.796168010249742
DTB.156.B	0.107413795227368	0.0148360946444648	0	0.0859544889074856	0.0539857426660174	0.0112530743688593	0.0069649008814545	0.00351163995322926	0	0.013090301583061	0	0.0253177696947675	0.0307498760688275	0.0848976470948303	0.018487171633268	0	0.0353673227851564	0.0286196586159573	0.0308002276052203	0.00562910324332211	0.0284819883809798	0.0288544931585535	0.0274597782726708	0.0199774956635174	0.0233303598506777	0.0180606042817296	0.0189547540236146	0.278001711394968	0	0.600527577600939	0.867419345625489
DTB.159.ProB	0.0735210695080073	0.00926290695281761	0.0184498914820279	0.0684578408684421	0.0472192743354572	0.0033827785571725	0	0	0	0	0	0.014140621096876	0.0424800265723062	0.0501040856329899	0.0293071005541255	0	0.234736888400781	0.0745414438679985	0.0214498774890359	0	0.0192322294432053	0.0045828757095031	0.0400605816551987	0.0352098951749506	0.0415322453160793	0.0188703297140395	0.0122475922527852	0.1412104454162	0	0.940034632132268	0.343217415467239
DTB.172.A	0	0.00480482244354296	0.0376293689474743	0.044261483562818	0.025360865246449	0.00232532716982243	0.00870514306395979	0.0034859933374376	0	0.0157047138942738	0	0.00638185028532442	0.0225953859267502	0.0883029543160021	0.00923487392117947	0.0154253634760825	0.00146115000449497	0.000679266392663835	0.0247333375678626	0.0159901959070768	0.023706312121697	0	0.0203825440367195	0	0.0430432379656983	0.0272226528177093	0.0104725293044845	0.548090628290477	0	0.558340001601494	0.877953034548023
DTB.173.A	0.0354445245135269	0.0163503241511144	0.0125942737072963	0.0378798411967043	0.0266581119055901	0.00869776889546528	0.00891067428986993	0.00369036564401294	0	0.0147095453788966	0	0.00940230083451024	0.00531942179988505	0.0389869508715948	0.00191355834460752	0.0116432816059934	0.00818232003055486	0.000299410557601721	0.0110168709964624	0.014417719843562	0.0183968142402435	0.00802260920635265	0.00648145450188728	0.00368372241972971	0.0457098140414557	0.0188045701497876	0.00170967794125842	0.631074072932036	0	0.763547849113576	0.797990184210027
DTB.176.A	0.0245630369651458	0.00610088993294599	0.00792710303993439	0.048678333783101	0.0365299288300299	0.0103779663479128	0.0107547041926651	0	0	0.00604554373760365	0	0.0162932781710061	0.00507545212657106	0.100947120939257	0.0143252226413666	0	0.020205369479955	0.000522310608495816	0.0168201115483968	0.0117552032212209	0.0189654876082307	0.0188370469314831	0.0277388373230581	0.00548251767054276	0.0322076275295028	0.0241421527455008	0.000848719532322	0.534856035093752	0	0.743219945742059	0.811841566513871
DTB.176.ProA	0.0431388512060206	0.0103349325092437	0.00342311800670566	0.0427114000031333	0.041824429827144	0.00450490229851353	0.0144739997299266	0	0	0.016871783574343	0	0.00721707626475907	0.00881879442546362	0.0524224193200552	0.0168556231040809	0	0.0225592187885844	0.000415931519433254	0.0179015192171976	0.0269626739755311	0.0226873403377383	0	0.00591406341538428	0.00651971769886956	0.0428217944164209	0.0275140241071642	0.00219963044241985	0.561906755811867	0	0.699235851875873	0.818848205228838
DTB.183.A	0.0248773060492972	0.0095595849280392	0	0.0828272687506242	0.0242885206231059	0.0168351646232636	0.00693254102333796	0	0	0.00710356061274585	0	0.0100420047277395	0.00834467284860892	0.0998775370174496	0.0200850361621369	0	0.00664712753218825	0.000490358283146278	0.0191222267278198	0.00818407741623365	0.0230550384190654	0.0595391738256741	0.0131662343866923	0	0.0467503959969245	0.023027840443179	0.00629673989136209	0.482947589711366	0	0.678216262573401	0.85006840216318
DTB.186.A	0.0563850215866612	0.00821466940655274	0.0183727613909203	0.0525573926446712	0.0628582749410257	0.00237209595933893	0.00670742521593426	0	0	0.0283839244117936	0	0.00515157793738422	0.0184905343927695	0.0470183192828291	0.0245420375739147	0	0.0046944739638933	0.000416858719301494	0.0166029323974073	0.0221179007176547	0.026458026587361	0	0.0017000475822241	0	0.0489962983777671	0.0280837985372856	0.0108683252176211	0.509007303155689	0	0.516678863302348	0.891282535504077
DTB.187.B	0.0283579596401318	0.00681690254684179	0.043274991153587	0.0558709305983373	0.0558384836829355	0.003635665494366	0.00455343017064196	0.00920196808385504	0	0.0172648540882824	0	0.00902400761881827	0.0269403384000325	0.0700974187008393	0.0145611785879724	0.00505408616310353	0.0528979378593451	0.00528500120210395	0.0199074507109096	0.00951595921082067	0.0205930427268651	0	0.020971756100288	0	0.0311066960971978	0.0246067024361408	0.0100476868381399	0.454575551888444	0	0.800481528273174	0.75951762265514
